ticket_id,account_id,created_date,priority,category,status,resolution_hours,csat
TKT-1001,ACCT-001,2026-07-05,High,Integration,Closed,42,3
TKT-1002,ACCT-001,2026-07-18,Medium,Reporting,Closed,18,4
TKT-1003,ACCT-001,2026-07-29,Critical,Integration,Open,,2
TKT-1004,ACCT-001,2026-08-02,Medium,User Access,Closed,12,4
TKT-1005,ACCT-001,2026-08-08,High,Automation,Closed,36,3
TKT-1006,ACCT-001,2026-08-11,Low,Training,Closed,8,4
TKT-1007,ACCT-001,2026-08-15,Medium,Reporting,Closed,22,3
TKT-2001,ACCT-002,2026-07-22,Low,Training,Closed,6,5
TKT-2002,ACCT-002,2026-08-06,Medium,Reporting,Closed,10,5
TKT-3001,ACCT-003,2026-07-14,Medium,Integration,Closed,20,4
TKT-3002,ACCT-003,2026-08-03,Medium,Reporting,Closed,16,4
TKT-3003,ACCT-003,2026-08-12,High,Automation,Closed,28,3
TKT-4001,ACCT-004,2026-08-04,Low,Training,Closed,5,5
TKT-5001,ACCT-005,2026-07-09,Medium,Training,Closed,14,4
TKT-5002,ACCT-005,2026-07-26,Medium,Automation,Closed,19,3
TKT-5003,ACCT-005,2026-08-09,High,Adoption,Open,,3
TKT-6001,ACCT-006,2026-07-30,Low,Reporting,Closed,7,5
TKT-7001,ACCT-007,2026-07-02,High,Integration,Closed,39,2
TKT-7002,ACCT-007,2026-07-16,Critical,Performance,Closed,52,2
TKT-7003,ACCT-007,2026-07-28,High,Automation,Open,,2
TKT-7004,ACCT-007,2026-08-05,Medium,Reporting,Closed,24,3
TKT-7005,ACCT-007,2026-08-13,Medium,User Access,Open,,3
TKT-8001,ACCT-008,2026-08-01,Low,Training,Closed,4,5
